complex_id,apt_name,sigungu,identity_status,join_status,full_pnus
cx_c89bcb72d69a793d,"비전",동작구,NO_PNU,NO_PNU,[]
cx_c8a2a8a1aa56a80c,"(792-98)",구로구,SINGLE_PARCEL,PNU_NOT_FOUND,["1153010200107920000"]
cx_c8acdcff97f9fcc7,"태영빌라2",구로구,SINGLE_PARCEL,PNU_NOT_FOUND,["1153010200107400000"]
cx_c8b301d1b123f5c3,"코오롱(1차)",강동구,SINGLE_PARCEL,PNU_NOT_FOUND,["1174010800101960000"]
cx_c8b4967d1280a3c2,"동궁리치웰(101동)",송파구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1171010700101960000"]
cx_c8b692529eaaff37,"중앙하이츠",마포구,SINGLE_PARCEL,PNU_NOT_FOUND,["1144010900101610000"]
cx_c8d60a74765ff139,"하이파크아파트",송파구,SINGLE_PARCEL,PNU_NOT_FOUND,["1171010600100380000"]
cx_c8d9a70d08ee7d9b,"비젼21(2차)",서초구,SINGLE_PARCEL,PNU_NOT_FOUND,["1165010100108490000"]
cx_c90e6172a74174aa,"자산메르시안(164-31)",은평구,SINGLE_PARCEL,PNU_NOT_FOUND,["1138011000101640000"]
cx_c92d57156fdb5fff,"오페라하우스",서초구,MULTI_RECORD_SAME_PARCEL,PNU_LOT_CONFLICT,["1165010600100710000"]
cx_c92f2f126da9e153,"신성미소시티",용산구,SINGLE_PARCEL,PNU_NOT_FOUND,["1117013100100960000"]
cx_c9357fd5a4be629b,"세모하이츠(b)",중랑구,SINGLE_PARCEL,PNU_NOT_FOUND,["1126010100101320000"]
cx_c9399a8f1ab1d557,"선경이노블",동대문구,SINGLE_PARCEL,PNU_NOT_FOUND,["1123010600103460000"]
cx_c93bdfcfb6814bc5,"(791-5)",구로구,SINGLE_PARCEL,PNU_NOT_FOUND,["1153010200107910000"]
cx_c940a9ac1a89e3c7,"트윈팰리스(101동)",송파구,MULTI_RECORD_SAME_PARCEL,PNU_LOT_CONFLICT,["1171010800101120000"]
cx_c946a477ce295a8b,"삼익",용산구,SINGLE_PARCEL,PNU_NOT_FOUND,["1117012900103000000"]
cx_c981ea018f8c107b,"이수프라자",동작구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1159010700101380000"]
cx_c9977795229887e0,"솔렌시아2",광진구,SINGLE_PARCEL,PNU_NOT_FOUND,["1121510300102360000"]
cx_c997c49a0725c685,"뉴파크플러스(1608-27)",관악구,SINGLE_PARCEL,PNU_NOT_FOUND,["1162010100116080000"]
cx_c9ae257caae55cdd,"(770-4)",구로구,SINGLE_PARCEL,PNU_NOT_FOUND,["1153010200107700000"]
cx_c9b7b64f417bdd5e,"그린월드",서초구,SINGLE_PARCEL,PNU_NOT_FOUND,["1165010800115080000"]
cx_c9c2db44bce4a7fa,"대성월드빌",강북구,SINGLE_PARCEL,PNU_NOT_FOUND,["1130510300100450000"]
