complex_id,apt_name,sigungu,coord_status,reb_status,our_pnu_key,our_jibun_addr
cx_869c1cccc5ca1bc2,"녹번현대아파트",은평구,NO_MATCH,EXACT_JIBUN_ADDRESS,113801020001000055,"서울 은평구 녹번동 100-55"
cx_86a7389cc8048bea,"호정빌라트",강남구,NO_MATCH,EXACT_PARCEL,116801140006790000,"서울 강남구 일원동 679"
cx_86ab5a5cffbd4da7,"희훈타워빌",구로구,NO_MATCH,EXACT_JIBUN_ADDRESS,115301020001100001,"서울 구로구 구로동 110-1"
cx_86b723945f30326d,"미소가",관악구,NO_MATCH,EXACT_JIBUN_ADDRESS,116201010000390013,"서울 관악구 봉천동 39-13"
cx_86b8541b590fdeae,"라움(492-45)",강동구,NO_MATCH,EXACT_JIBUN_ADDRESS,117401070004920045,"서울 강동구 암사동 492-45"
cx_86c0d68217f750ec,"만민라이프",은평구,NO_MATCH,EXACT_JIBUN_ADDRESS,113801080000520015,"서울 은평구 역촌동 52-15"
cx_86c14ea3945763bc,"세한(410-150)",강서구,NO_MATCH,EXACT_JIBUN_ADDRESS,115001030004100150,"서울 강서구 화곡동 410-150"
cx_86c948ba8b245142,"북한산대창센시티",은평구,NO_MATCH,EXACT_JIBUN_ADDRESS,113801030000710016,"서울 은평구 불광동 71-16"
cx_86d10d545620b320,"신목동파라곤",양천구,NO_MATCH,EXACT_PARCEL,114701030010850000,"서울 양천구 신월동 1085"
cx_86d21361952ea171,"신원프라자",구로구,NO_MATCH,EXACT_PARCEL,115301060003240000,"서울 구로구 고척동 324"
cx_86da88729cc1a61a,"한양",강동구,NO_MATCH,EXACT_PARCEL,117401010000540000,"서울 강동구 명일동 54"
cx_86f03b3fea3e8a9e,"동심",금천구,NO_MATCH,EXACT_JIBUN_ADDRESS,115451020001840004,"서울 금천구 독산동 184-4"
cx_86f0d460c37f5fb9,"운암화인빌",강동구,NO_MATCH,EXACT_JIBUN_ADDRESS,117401080004090008,"서울 강동구 성내동 409-8"
cx_86f6f8848d2b63de,"삼성빌리지(223-14)",강북구,NO_MATCH,EXACT_JIBUN_ADDRESS,113051030002230014,"서울 강북구 수유동 223-14"
cx_870403d1c8a123d0,"여의",영등포구,NO_MATCH,EXACT_JIBUN_ADDRESS,115601320000010008,"서울 영등포구 신길동 1-8"
cx_87065d8c845d27fa,"우남위시빌",광진구,NO_MATCH,EXACT_JIBUN_ADDRESS,112151030005910029,"서울 광진구 구의동 591-29"
cx_8708d0aedce2ea00,"성용",종로구,NO_MATCH,EXACT_JIBUN_ADDRESS,111101740006400252,"서울 종로구 창신동 640-252"
cx_870e2e6a7c354e49,"미진주택b동",구로구,NO_MATCH,EXACT_JIBUN_ADDRESS,115301080000120002,"서울 구로구 오류동 12-2"
cx_871024e2ad3623a2,"한일유앤아이",노원구,NO_MATCH,EXACT_PARCEL,113501050013090000,"서울 노원구 상계동 1309"
cx_8725492b2cc130bb,"(717-10)",구로구,NO_MATCH,EXACT_JIBUN_ADDRESS,115301020007170010,"서울 구로구 구로동 717-10"
cx_873f0d63d8f71655,"양재파크뷰",서초구,NO_MATCH,EXACT_JIBUN_ADDRESS,116501020000080037,"서울 서초구 양재동 8-37"
cx_873ffbc88e551cb2,"광진트라팰리스",광진구,NO_MATCH,EXACT_PARCEL,112151050008540000,"서울 광진구 자양동 854"
cx_874435dc0176d0cd,"현대(3차)",노원구,NO_MATCH,EXACT_PARCEL,113501060005760000,"서울 노원구 중계동 576"
cx_8744e6b6d6b46c5b,"경남아너스빌",은평구,NO_MATCH,EXACT_PARCEL,113801050002240000,"서울 은평구 구산동 224"
cx_874aa6688f185a33,"뉴타운플러스",양천구,NO_MATCH,NO_MATCH,114701030005610002,"서울 양천구 신월동 561-2"
