complex_id,pnu,sido_code
cx_0d714ca6d7c9b1a9,2818510600101100000,28
cx_0d7ac2b2b1be8b01,3114010200101290006,31
cx_0d8188d0c79ad99e,5211114200115260002,52
cx_0d886741d928f475,4421010700109690000,44
cx_0d8aeb459bf8e811,4421010800100450003,44
cx_0d989ef7d3d015a1,5123012500103560002,51
cx_0d9df41dbbdabec0,4817013700103020000,48
cx_0da251b1995f8779,4715011600107670000,47
cx_0dad2691ee8ee5c6,4421010200107650001,44
cx_0dae7d7be23ad8b8,5183025035104190000,51
cx_0db27c6baa31223f,5113010500105810001,51
cx_0db5905f695ae023,4822034027115440000,48
cx_0dbc9064d6e6d0f4,1224011900103660019,12
cx_0ddcf12345cdedfd,5115012100106180001,51
cx_0dfc2f4e1dedd1b8,4711312000109190000,47
cx_0e03a963f70d2924,4471025022106840000,44
cx_0e04560accacb9c8,4729012600101800000,47
cx_0e065ee218ff0ffa,1230012600130770000,12
cx_0e187a245db13d91,2829010500108230001,28
cx_0e1fd1b4ea2ac69a,4711312000110740000,47
cx_0e2ea52cb60ee8a2,1233011600106890017,12
cx_0e315b0ccb3b75d6,4413111500102260008,44
cx_0e56359c2c0c2f93,1224013000111100000,12
cx_0e5be5db69905a91,5119010900100480001,51
cx_0e6cd93bd7e12b0a,4825013000104520001,48
cx_0e94a80663e257ef,2829010500110220001,28
cx_0e9fd4286d92d1ef,5183035024109770000,51
cx_0ea1c6fe49cd097a,5172025030101550000,51
cx_0ea8bc105a5600ba,5218010300100650001,52
cx_0eae0419705eff59,5176034026108290000,51
cx_0ebc2f3d281a8369,2823710300100370004,28
cx_0edc6afde3cc1524,1230010900107820003,12
cx_0eecfb509b476c28,5177025622103020000,51
cx_0eeec3a3fd1bb38e,5011013000128740000,50
cx_0ef0770e3704109d,3014011600100010135,30
cx_0ef1833c86969c96,5211112800108270000,52
cx_0efbc0690411e1b9,4427038023101860000,44
cx_0f16f8d9bdfd8cf0,4812310400108530036,48
cx_0f1a9b5df005e8dd,4480025625111690000,44
cx_0f1e64c6f670c574,4374525027109250000,43
cx_0f2282e55cc4898a,3023012600100220001,30
cx_0f42c408243da333,2818510600103970002,28
cx_0f4c53827e8e941d,3114010400118900000,31
cx_0f564c647c1dcb43,4728011000109490000,47
cx_0f63206cdf9f0fb4,3114010800103570007,31
cx_0f748d82584eba0c,1227011400105560001,12
cx_0f76536a795309de,4311112800105840000,43
cx_0f8d69cb8d1cc25e,1276025031110480000,12
cx_0f98e4f483700ebd,2629010600118080000,26
cx_0f9aac05b56a3deb,3114010600115290001,31
cx_0fb17d099ec9f25f,4873025024103060000,48
cx_0fb2f3066b988363,4715012000104090000,47
cx_0fb3c571d001add1,4719012000109410000,47
cx_0fbee69164b42476,1224011900116120000,12
cx_0fcfc0e71ab12885,4420011100105190000,44
cx_0fd4d722c38862d0,2823710200101820166,28
cx_0fdeaca053654e32,3020011500104870000,30
cx_0fdffd7151f13a2c,2820010100100230000,28
cx_100c643871e36f8d,3611010800122020010,36
cx_100f902e9296b346,2824511100104890000,28
cx_1018b2d231eee2bd,1219010800107750001,12
cx_101b13b07792829a,4413310200113450000,44
cx_102195a896229f83,2820010200108930000,28
cx_102abd230ae0b0af,1227010600113120000,12
cx_103f9e62e5866b6b,5221025027100790004,52
cx_10417196f761fcb5,2829010500105670000,28
cx_1044f2a7ce678ae3,5013025924111410001,50
cx_10620477dcf4e4d6,5011010200100460000,50
cx_1065882e86c25cf6,3117010400103000384,31
cx_1067c201c28f0cae,4812110200107850000,48
cx_10708a446387df47,4721010500116200000,47
cx_1080fa6f17d61e88,2818510600103110000,28
cx_1082fb63a2167855,4812110600103050005,48
cx_108c191b9500f9c3,4420035033102520000,44
cx_108e90ce20d51181,2827510100105110000,28
cx_10993861858c68fd,4311210700103140000,43
cx_10a2fbd9ddaf127e,4373025037103130000,43
cx_10ca4cdd99c3264f,4311111700100440000,43
cx_10d6e0a3d7de66e9,4812513400107080001,48
cx_10e3b9dbd4a5009c,3114010800105380001,31
cx_10ed76b9e726fe43,1230012800102490065,12
cx_10eff8c54e01c9c5,4423025331110650034,44
cx_10facdea4d99b0a9,4723010300101200000,47
cx_10fc05fa83df7b8e,4413111900102230003,44
cx_11045792b264b868,4729025022112160000,47
cx_11068921082d56ba,4822011500102920107,48
cx_11301134611a3bd9,5213014300103320001,52
cx_1138bdcd676f785c,5111012300110240000,51
cx_115035dfc035de2b,5013025921103920000,50
cx_115b4ffe48280076,1211015900110250000,12
cx_115e6de525c18158,4725010500104070000,47
cx_115f750b8dfcf367,1211016000105320002,12
cx_11612fb81e1bfda8,4817013700101910000,48
cx_1164a06343320001,4812515900106060000,48
cx_11704bae03354236,5113011500117130000,51
cx_117b2ec43a59eea1,2827510800102080001,28
cx_117d42f3b3614a27,4831010600107640000,48
cx_119358db5b8c59ca,3023010900102740001,30
cx_11a326f334cde92d,2818510600103190001,28
cx_11a3e4a99881e37f,1211016000111800000,12
cx_11a509ef2b8afde2,5271033029107210000,52
cx_11a9388c77e8e0af,5211112800105450000,52
cx_11ad7639226cd00a,1227010800103480000,12
cx_11c70633afe65f3e,4420011300106170000,44
cx_11cab565ba2f0c4a,1227010700108250000,12
cx_11de34c1acbb7f97,2626010700107000101,26
cx_11ebc149e039bd99,4812725028105080001,48
cx_11efc1285efaf698,4822011100110540005,48
cx_11ffd73eb42cef74,4812312700100450001,48
cx_12099b0357ede594,4812725028100380000,48
cx_1226effe581537db,3020011100106400002,30
cx_122abccfcacbfc01,2824510200109490004,28
cx_1231050d71a7d192,4729025321102050001,47
cx_123d2ca1ed898b8c,4833025323113040001,48
cx_124220b5580512ba,4824012700109000004,48
cx_12463eeea9d7bfa0,2638010300103650000,26
cx_1248a6eb2afd5ed2,4833011400106540001,48
cx_1250133e9633fb04,4420033021107200000,44
cx_1258ec23aa77cef8,5013010200107490001,50
cx_1263a95acb88dbdb,4719010900100740000,47
cx_1267c9a1e3fae3a2,2827511000101220002,28
cx_126c91c382b34ccb,2812513500100530004,28
cx_1284b5dd0a64cef2,3020012000110420000,30
cx_129b695c0dad416d,1233011800111210000,12
cx_12ac0cfd25f65d69,4812310400108530033,48
cx_12cd611b4d2a6b1d,4825012800100610005,48
cx_12e76cb9e3ad044f,4817012200106760003,48
cx_12ec451e64673fd1,2771025628106370006,27
cx_12f6647fba8c7ef6,4817012600103010001,48
cx_12fae06df25383da,4833033023109080000,48
cx_12fd3805ea291755,2823710500104530001,28
cx_1302834b8d2799a2,5119010500100020003,51
cx_130511d9600c08c0,2812510300101650000,28
cx_131dc31aa173cee3,4315010900100750000,43
cx_132766f1e981f318,3114010600114590001,31
cx_1329e569ac0ee3cb,4413325626100690014,44
cx_132ae5da01f794e0,5113010600107640000,51
cx_1347d03770e604be,5113011500118680006,51
